-73.944828,40.73323,B,0013,NO. HENRY ST N/O GREENPOINT AV
-73.93253,40.72795,B,0014,GARDNER AVE & MEEKER AVE
-73.93146,40.72563,B,0015,GARDNER AVE & CHERRY  ST
,,B,0016,LOMBARDY ST W OF SCOTT AVE
-73.93622,40.72748,B,0018,BRIDGEWATER ST & VARICK ST
-73.94745,40.735126,B,0019,FREEMAN ST & WHALE CREEK
-73.95612,40.72601,B,0020,MESEROLE AVE & BANKER ST
-73.95865,40.73626,B,0023,COMMERCIAL ST & CLAY ST
-73.95854,40.7356,B,0024,FRANKLIN & DUPONT STS
-73.95999,40.73471,B,0025,WEST ST & EAGLE ST
-73.962472,40.733747,B,0026,FREEMAN ST & EAST RIVER
-73.95819,40.73346,B,0027,FRANKLIN ST & GREEN ST
-73.9597,40.73257,B,0028,WEST ST & HURON ST
-73.95784,40.73131,B,0029,FRANKLIN ST & JAVA ST
-73.95935,40.73044,B,0030,WEST ST & KENT ST
-73.961296,40.729589,B,0031,GREENPOINT AVE & EAST RIVER
-73.9575,40.72917,B,0032,FRANKLIN ST & MILTON ST
-73.95901,40.72829,B,0034,WEST ST & NOBLE ST
-73.95728,40.72778,B,0035,FRANKLIN ST & OAK ST
-73.95871,40.72617,B,0036,WEST ST & QUAY ST
-73.95755,40.72554,B,0037,MESEROLE AVE & FRANKLIN ST
-73.95442,40.72656,B,0038,MESEROLE AVE & GUERNSEY ST
-73.95583,40.72731,B,0039,CALYER ST & CLIFFORD PL
-73.95332,40.72815,B,0040,MANHATTAN AVE & CALYER ST
-73.95466,40.72874,B,0041,LORIMER ST & NOBLE ST
-73.95426,40.73022,B,0042,MANHATTAN AVE & GREENPOINT AVE
-73.95461,40.73234,B,0043,MANHATTAN AVE & INDIA ST
-73.95496,40.73445,B,0045,MANHATTAN AVE & FREEMAN ST
-73.95532,40.73657,B,0046,MANHATTAN AVE & CLAY ST
-73.95556,40.73799,B,0047,MANHATTAN AVE & COMMERCIAL ST
-73.95265,40.73752,B,0048,MC GUINNESS BLVD & PAIDGE AVE
-73.952369,40.735438,B,0049,E/S MC GUINNES BLVD AT EAGLE ST
-73.95207,40.73328,B,0050,MC GUINNESS BLVD & HURON ST
-73.95189,40.73117,B,0051,MC GUINNESS BLVD & KENT ST
-73.95258,40.73037,B,0052,GREENPOINT AVE & ECKFORD ST
-73.95056,40.72905,B,0053,MC GUINNESS BLVD & CALYER ST
-73.95184,40.7274,B,0054,MESEROLE AVE & LEONARD ST
-73.94934,40.72823,B,0056,MESEROLE AVE & NEWEL ST
-73.94822,40.72979,B,0058,CALYER ST & JEWEL ST
-73.94783,40.73091,B,0059,GREENPOINT AVE & MOULTRIE ST
-73.949033,40.730685,B,0060,GREENPOINT AVENUE W OF JEWEL ST
-73.94945,40.7321,B,0061,PROVOST ST & JAVA ST
-73.9498,40.73422,B,0063,PROVOST ST & GREEN ST
-73.95014,40.73636,B,0064,PROVOST ST & DUPONT ST
-73.945134,40.734779,B,0067,FOOT OF N HENRY ST
-73.94283,40.73267,B,0068,GREENPOINT AVE & KINGSLAND AVE
-73.94553,40.73175,B,0069,GREENPOINT AVE & RUSSELL ST
-73.94623,40.73044,B,0070,HUMBOLDT ST & CALYER ST
-73.94513,40.72937,B,0071,MESEROLE AVE & RUSSELL ST
-73.944351,40.730637,B,0072,CALYER ST & N HENRY ST
-73.942277,40.729469,B,0073,KINGSLAND AVE 500' S OF CALYER ST
